"usuario.puntuacion","puntuacion.calidad_construccion","marca","GPS.notes","puntuacion.visor","fecha_lanzamiento","caracteristicas.resolucion","puntuacion.general","caracteristicas.velocidad_obturador","modelo","puntuacion.modo_video","puntuacion.puntuacion_calidad_raw","caracteristicas.peso","puntuacion.precision","tipo_sensor","puntuacion.calidad_jpg","precio","GPS","puntuacion.caracteristicas","puntuacion.ergonomia_manejo","puntuacion.pro_review","puntuacion.luz_baja_alto_ISO","tipo_cuerpo","caracteristicas.volumen"
93.3282,84.2857142857143,"Nikon",NA,71.4285714285714,"2019","5568 x 3712",87.1428571428571,"1/4000 sec","Nikon Z50",80,85.2857142857143,450,65.7142857142857,"CMOS",77.5036075036075,859,"None",78.5714285714286,88.5714285714286,85,75.974025974026,"SLR-style mirrorless",716280
100,82.8571428571429,"Sony",NA,82.8571428571429,"2019","6000 x 4000",90,"1/8000 sec","Sony a9 II",78.5714285714286,80.8571428571429,678,89.2857142857143,"CMOS",82.3809523809524,4500,"None",83.3333333333333,82.8571428571429,90,92.3376623376623,"SLR-style mirrorless",941184
NA,NA,"All Cameras",NA,NA,"2019",NA,NA,NA,"GoPro Max",NA,NA,154,NA,"CMOS",NA,499,NA,NA,NA,NA,NA,"VR/Action camera",110400
NA,NA,"All Cameras",NA,NA,"2019",NA,NA,NA,"GoPro Hero8 Black",NA,NA,126,NA,"CMOS",NA,350,"Built-in",NA,NA,NA,NA,"VR/Action camera",90552
NA,57.1428571428571,"Canon",NA,71.4285714285714,"2019","6000 x 4000",78.5714285714286,"1/4000 sec","Canon EOS M200",35.7142857142857,80.8571428571429,299,77.1428571428571,"CMOS",71.1399711399711,599,"None",64.7619047619048,71.4285714285714,79,67.012987012987,"Rangefinder-style mirrorless",253260
NA,57.1428571428571,"Fujifilm",NA,74.2857142857143,"2019","6000 x 4000",78.5714285714286,"1/4000 sec","Fujifilm X-A7",64.2857142857143,84.2857142857143,320,73.5714285714286,"CMOS",75.5411255411255,699,"None",70.4761904761905,71.4285714285714,81,78.5714285714286,"Rangefinder-style mirrorless",185402
100,97.1428571428571,"Nikon",NA,97.1428571428571,"2019","5568 x 3712",71.4285714285714,"1/8000 sec","Nikon D6",64.2857142857143,78,1270,87.8571428571429,"CMOS",80.0865800865801,6499,"Built-in",88.0952380952381,92.8571428571429,89,90.9090909090909,"Large SLR",2399360
NA,57.1428571428571,"Sony",NA,64.2857142857143,"2019","6000 x 4000",82.8571428571429,"1/4000 sec","Sony a6100",71.4285714285714,85.7142857142857,396,87.1428571428571,"CMOS",79.9134199134199,750,"None",73.8095238095238,54.2857142857143,82,84.9350649350649,"Rangefinder-style mirrorless",474360
90,82.8571428571429,"Sony",NA,61.4285714285714,"2019","6000 x 4000",64.2857142857143,"1/4000 sec","Sony a6600",81.4285714285714,85.7142857142857,503,87.1428571428571,"CMOS",79.9134199134199,1400,"None",83.3333333333333,50,83,84.9350649350649,"Rangefinder-style mirrorless",554760
70,82.8571428571429,"Canon",NA,78.5714285714286,"2019","6960 x 4640",57.1428571428571,"1/8000 sec","Canon EOS 90D",71.4285714285714,82.2857142857143,701,76.4285714285714,"CMOS",72.9148629148629,1199,"None",80.9523809523809,85.7142857142857,85,70.1298701298701,"Mid-size SLR",1139985
92.7344,82.8571428571429,"Canon",NA,71.4285714285714,"2019","6960 x 4640",85.7142857142857,"1/4000 sec","Canon EOS M6 Mark II",71.4285714285714,82.2857142857143,408,76.4285714285714,"CMOS",76.4502164502164,849,"None",80.9523809523809,85.7142857142857,85,70.1298701298701,"Rangefinder-style mirrorless",411600
85,74.2857142857143,"Sony",NA,90,"2019","5472 x 3648",57.1428571428571,"1/2000 sec","Sony Cyber-shot DSC-RX100 VII",87.1428571428571,71.5714285714286,302,83.5714285714286,"CMOS",68.2539682539683,1200,"None",93.3333333333333,71.4285714285714,85,70.6493506493507,"Compact",254388
90.5442,84.2857142857143,"Sony",NA,95.7142857142857,"2019","9504 x 6336",71.4285714285714,"1/8000 sec","Sony a7R IV",88.5714285714286,97.2857142857143,665,86.4285714285714,"CMOS",86.7965367965368,3500,"None",91.4285714285714,82.8571428571429,91,90.9090909090909,"SLR-style mirrorless",965952
NA,89.8701298701299,"Leica",NA,88.7012987012987,"2019","5472 x 3648",38.3116883116883,"1/4000 sec","Leica V-Lux 5",35.7142857142857,83.7662337662338,812,76.9480519480519,"CMOS",69.2968647514102,1550,"None",67.7489177489177,71.4285714285714,82.1818181818182,67.1782762691853,"SLR-like (bridge)",1754148
85,78.5714285714286,"Canon",NA,70,"2019","5472 x 3648",75.7142857142857,"1/2000 sec","Canon PowerShot G7 X Mark III",70,71.5714285714286,304,75,"CMOS",64.0692640692641,749,"None",78.0952380952381,80,81,59.7402597402597,"Compact",262605
92.5,82.8571428571429,"Canon",NA,82.8571428571429,"2019","5472 x 3648",71.4285714285714,"1/2000 sec","Canon PowerShot G5 X Mark II",67.1428571428571,71.5714285714286,340,75,"CMOS",64.0692640692641,899,"None",75.7142857142857,85.7142857142857,82,59.7402597402597,"Compact",311466
100,89.8701298701299,"Leica",NA,88.7012987012987,"2019","5976 x 3992",38.3116883116883,NA,"Leica M-E (Typ 240)",35.7142857142857,83.7662337662338,NA,76.9480519480519,"CMOS",69.2968647514102,3999,"None",67.7489177489177,71.4285714285714,82.1818181818182,67.1782762691853,"Rangefinder-style mirrorless",NA
NA,92.8571428571429,"Hasselblad",NA,64.2857142857143,"2019","8272 x 6200",42.8571428571429,"1/2000 sec","Hasselblad X1D II 50C",42.8571428571429,95,766,75,"CMOS",69.1197691197691,5750,"Built-in",76.1904761904762,78.5714285714286,81,77.2727272727273,"Rangefinder-style mirrorless",1004920
NA,98.5714285714286,"Panasonic",NA,95.7142857142857,"2019","6000 x 4000",71.4285714285714,"1/8000 sec","Panasonic Lumix DC-S1H",100,89.2857142857143,1052,76.4285714285714,"CMOS",83.030303030303,3999,"None",93.8095238095238,88.5714285714286,90,90.7792207792208,"SLR-style mirrorless",1893540
85,92.8571428571429,"Fujifilm",NA,85.7142857142857,"2019","11648 x 8736",57.1428571428571,"1/4000 sec","Fujifilm GFX 100",85.7142857142857,100,1320,75,"CMOS",85.7287157287157,9999,"None",82.8571428571429,71.4285714285714,90,92.7272727272727,"SLR-style mirrorless",1684800
90,81.4285714285714,"Olympus","GPS with e-compass, manometer, thermometer, accelerometer",75.8234126984127,"2019","4000 x 3000",68.5714285714286,"1/2000 sec","Olympus Tough TG-6",71.4285714285714,64.2857142857143,253,71.7460317460317,"CMOS",57.1428571428571,449,"Built-in",85.7142857142857,57.1428571428571,76,57.1428571428571,"Compact",238656
80,68.5714285714286,"Canon",NA,57.1428571428571,"2019","6000 x 4000",68.5714285714286,"1/4000 sec","Canon EOS Rebel SL3 (EOS 250D / EOS Kiss X10)",35.7142857142857,80.8571428571429,449,74.2857142857143,"CMOS",70.4184704184704,599,"None",64.7619047619048,75.7142857142857,79,67.4025974025974,"Compact SLR",794220
95,85.7142857142857,"Panasonic",NA,78.5714285714286,"2019","5184 x 3888",82.8571428571429,"1/4000 sec","Panasonic Lumix DC-G95",71.4285714285714,76.7142857142857,536,71.4285714285714,"CMOS",73.5930735930736,1199,"None",84.7619047619048,78.5714285714286,83,59.8701298701299,"SLR-style mirrorless",940940
50,64.2857142857143,"Sony",NA,80.7818270165209,"2019","4800 x 3200",42.8571428571429,"1/32000 sec","Sony DSC-RX0 II",64.2857142857143,78.4691963365433,132,77.3856016432547,"CMOS",58.3333333333333,699,"None",64.2857142857143,50,70,64.2857142857143,"Ultracompact",84665
